Magadheera	2009	S. S. Rajamouli	When Harsha, a bike stunter from Vishakapatnam, accidentally meets Indu, he discovers his warrior life Kala Bhairava in his last birth. The remaining story explains how Indu and Kala Bhairava are connected.	['Ram Charan', 'Kajal Agarwal', 'Dev Gill', 'Srihari', 'Sunil Varma', 'Surya Bhagawan Das', 'Chatrapathi Sekhar', 'Sarath Babu', 'Saloni Aswani', 'Hema', 'Subbaraya Sharma', 'Brahmanandam', 'Rao Ramesh', 'Sameer Hasan', 'Chiranjeevi', 'Kim Sharma', 'Mumaith Khan']	['Geetha Arts']	['India']	['Telugu']	['Telugu', 'Sanskrit (Saṁskṛta)']	['action']	['Epic heroes', 'Epic history and literature', 'Song and dance', 'historical, epic, battle, historic or fought', 'bollywood, songs, climax, emotion or goosebumps', 'swords, adventure, fantasy, battle or epic', 'martial arts, kung fu, choreography, cool or action-packed', 'adventure, epic, exciting, action or tribe']
Shyam Singha Roy	2021	Rahul Sankrityan	A young filmmaker is in a soup right when he’s about to find his footing in the film industry. When he sets out to find an answer, turns out it’s in the past.	['Nani', 'Sai Pallavi', 'Krithi Shetty', 'Madonna Sebastian', 'Murali Sharma', 'Rahul Ravindran', 'Abhinav Gomatam', 'Ankith Koyya', 'Leela Samson', 'Jisshu Sengupta', 'Subhalekha Sudhakar', 'Anurag Kulkarni', 'Manish Wadhwa']	['Niharika Entertainment']	['India']	['Telugu']	['Telugu', 'Bengali, Bangla']	['romance', 'drama']	['Song and dance', 'Epic history and literature', 'bollywood, songs, climax, emotion or goosebumps', 'dancing, choreography, songs, tune or musical', 'singing, musical, songs, tune or lyrics', 'historical, epic, battle, historic or fought', 'band, songs, concert, musician or lyrics']
C/o Kancharapalem	2018	Venkatesh Maha	From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.	['Mohan Bhagath', 'Praveena Paruchuri', 'Karthik Rathnam', 'Radha Bessy', 'Praneeta Patnaik', 'Nithya Sree', 'Kesava Karri', 'Kishore Kumar Polimera']	['Paruchuri Vijaya Praveena Arts']	['India']	[]	['Telugu']	['drama']	['Song and dance', 'Faith and religion', 'bollywood, songs, climax, emotion or goosebumps', 'religion, church, faith, beliefs or spiritual', 'singing, musical, songs, tune or lyrics', 'touching, emotion, emotional, family or cry', 'jesus, religion, faith, beliefs or holy']
Major	2022	Sashi Kiran Tikka	This biopic follows the life of Indian Army officer Major Sandeep Unnikrishnan, from his childhood to his heroic actions during the 2008 Mumbai attacks.	['Adivi Sesh', 'Sobhita Dhulipala', 'Saiee Manjrekar', 'Prakash Raj', 'Murali Sharma', 'Revathi', 'Vinay Nallakadi', 'Anish Kuruvilla', 'Sridevi', 'Pradeep Rudra']	['Sony Pictures Networks Productions', 'G. Mahesh Babu Entertainment Pvt. Ltd']	['India']	[]	['Telugu']	['drama', 'history', 'action']	['War and historical adventure', 'Epic history and literature', 'war, soldiers, combat, military or fought', 'historical, epic, battle, historic or fought', 'bollywood, songs, climax, emotion or goosebumps', 'war, wwii, combat, military or duty', 'political, democracy, documentary, president or propaganda']
Rangasthalam	2018	Sukumar	Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.	['Ram Charan', 'Samantha Ruth Prabhu', 'Aadhi Pinisetty', 'Jagapati Babu', 'Prakash Raj', 'Anasuya Bharadwaj', 'Pooja Hegde', 'Naresh', 'Rohini', 'Brahmaji', 'Pujita Ponnada', 'Baby Annie', 'Banerjee', 'Satya', 'Ajay Ghosh', 'Mahesh Achanta', 'Shatru', 'Amit Sharma', 'Chatrapathi Sekhar', 'Noel Sean', 'Rajiv Kanakala', 'Getup Srinu']	['Konidela Production Company', 'Mythri Movie Makers']	['India']	[]	['Telugu']	['action', 'drama']	['Song and dance', 'bollywood, songs, climax, emotion or goosebumps', 'singing, musical, songs, tune or lyrics', 'dancing, choreography, songs, tune or musical', 'terrorism, thriller, gripping, intense or political', 'boxing, fighting, champion, sports or fighter']
Saaho	2019	Sujeeth	"A battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill."	['Prabhas', 'Shraddha Kapoor', 'Jackie Shroff', 'Neil Nitin Mukesh', 'Murali Sharma', 'Mandira Bedi', 'Arun Vijay', 'Vennela Kishore', 'Prakash Belawadi', 'Evelyn Sharma', 'Supreet', 'Chunky Pandey', 'Lal', 'Mahesh Manjrekar', 'Tinnu Anand', 'Aditya Srivastava', 'Jacqueline Fernandez', 'Girish Garladinne', 'Kumar Raja Venati', 'Naveen Varma Ganapathiraju', 'Sivakrishna', 'Sasha Chettri', 'Mukhtar Khan', 'Franaita Jijina']	['UV Creations']	['India']	[]	['Telugu']	['thriller', 'action']	['High speed and special ops', 'Epic heroes', 'Song and dance', 'bollywood, songs, climax, emotion or goosebumps', 'action, explosives, exciting, action-packed or villain', 'car, cars, action, adrenaline or racing', 'martial arts, kung fu, choreography, cool or action-packed', 'robbery, criminal, crime, heist or cops']
Virupaksha	2023	Karthik Varma Dandu	Set in a village named Rudravanam in 1990's, Surya along with his mother, visit there after a long time. Suddenly a series of mysterious deaths occur due to an unknown person's occult practice and whole village is scared. Will Surya find the person causing the deaths and save the village?	['Sai Dharam Tej', 'Samyuktha', 'Brahmaji', 'Sai Chand', 'Sunil Varma', 'Rajiv Kanakala', 'Abhinav Gomatam', 'Ajay', 'Shyamala', 'Kamal Kamaraju', 'Sai Kamakshi Bhaskarla', 'Chatrapathi Sekhar']	['Sukumar Writings', 'Sri Venkateswara Cine Chitra']	['India']	[]	['Telugu']	['fantasy', 'thriller', 'horror', 'mystery']	['Horror, the undead and monster classics', 'Thrillers and murder mysteries', 'Intense violence and sexual transgression', 'scary, horror, creepy, supernatural or frighten', 'horror, creepy, eerie, blood or gothic', 'horror, creepy, eerie, frighten or chilling', 'horror, gory, scary, killing or gruesome', 'horror, scientist, monster, doctor or experiment']
HIT: The 2nd Case	2022	Sailesh Kolanu	Krishna Dev aka KD, a laidback cop working in Andhra Pradesh State HIT, takes on a gruesome murder case. As KD unravels the layers of the crime, the stakes rise unbelievably high and the threat comes unusually close.	['Adivi Sesh', 'Meenakshi Chaudhary', 'Komalee Prasad', 'Maganti Srinath', 'Rao Ramesh', 'Suhas', 'Tanikella Bharani', 'Posani Krishna Murali', 'Harshavardhan', 'Srikanth Iyengar', 'Brahmaji', 'Bhanuchander', 'Nani', 'Vishwak Sen', 'Geeta Bhaskar', 'Kancharapalem Raju', 'Kedar Shankara', 'Pavani Karanam']	['Wall Poster Cinema']	['India']	[]	['Telugu']	['action', 'crime', 'thriller']	['Thrillers and murder mysteries', 'Crime, drugs and gangsters', 'cops, murder, thriller, detective or crime', 'mystery, murder, detective, murderer or clues', 'film noir, femme fatale, 1940s, thriller or intriguing', 'robbery, criminal, crime, heist or cops', 'bollywood, songs, climax, emotion or goosebumps']
Radhe Shyam	2022	Radha Krishna Kumar	Vikramaditya, a world-renowned palmist, believes love does not exist in his stars, until he meets Prerana. But when destiny tries to pull them apart, will love prevail?	['Prabhas', 'Pooja Hegde', 'Bhagyashree', 'Sathyaraj', 'Krishnam Raju', 'Jagapati Babu', 'Priyadarshi Pullikonda', 'Murali Sharma', 'Kunaal Roy Kapur', 'Sachin Khedekar', 'Riddhi Kumar', 'Sathyan Sivakumar', 'Jayaram', 'Thalaivasal Vijay', 'Sasha Chettri', 'Mahati Bikshu', 'Surya Bhagawan Das', 'Abhinay Raj Singh']	['UV Creations', 'T-Series', 'MSK Films']	['India']	[]	['Telugu']	['drama', 'romance']	['Song and dance', 'Epic heroes', 'Epic history and literature', 'bollywood, songs, climax, emotion or goosebumps', 'swords, adventure, fantasy, battle or epic', 'disaster, exciting, boats, voyage or adventure', 'historical, epic, battle, historic or fought', 'martial arts, kung fu, choreography, cool or action-packed']
Arjun Reddy	2017	Sandeep Reddy Vanga	When his girlfriend is forced to marry another man, a troubled young surgeon begins to self-destruct.	['Vijay Deverakonda', 'Shalini Pandey', 'Kamal Kamaraju', 'Kanchana', 'Rahul Ramakrishna', 'Sanjay Swaroop', 'Gopinath Bhat', 'Priyadarshi Pullikonda', 'Aditi Myakal', 'Anisha Alla', 'Sandhya Janak', 'Jia Sharma', 'Amit Sharma', 'Bhushan Kalyan', 'Sri Sudha Bhimireddy', 'Kalpalatha', 'Lahari Shari', 'Meesam Suresh']	['Bhadrakali Pictures']	['India']	[]	['Telugu']	['action', 'drama', 'romance']	['Underdogs and coming of age', 'Moving relationship stories', 'bollywood, songs, climax, emotion or goosebumps', 'surfing, teenager, friendship, adolescents or kids', 'emotional, emotion, sad, drama or illness', 'gambling, casino, unpredictable, drama or engaging', 'teenager, friendship, sad, adolescents or coming of age']
